# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190516_0008.fits 84.0171103 -134.77992837 -285.29799446 "15:54:44.84 +25:00:50.18" "15:55:06.04 +25:05:32.54" 403.4028724352306 0.37661245148217404
m190516_0009.fits 83.90855938 -89.77990884 -236.99105248 "15:54:44.84 +25:00:50.18" "15:55:14.52 +25:00:46.19" 403.5095547690735 0.3725902212405572
m190516_0010.fits 83.69556128 -44.77996598 -187.73765263 "15:54:44.84 +25:00:50.18" "15:55:05.64 +24:56:02.30" 403.5473565583946 0.30746154303716366
m190516_0012.fits 83.07491195 45.2200122 -91.18597302 "15:54:44.84 +25:00:50.18" "15:54:23.69 +24:56:07.47" 403.24902665120146 0.24733445557595246
m190516_0007.fits 84.18535321 -179.78007467 -334.33872589 "15:54:44.84 +25:00:50.18" "15:54:45.09 +25:07:32.89" 402.7248757274336 0.27335115158871304
m190516_0011.fits 83.39520104 0.21996828 -138.88244709 "15:54:44.84 +25:00:50.18" "15:54:44.57 +24:54:06.76" 403.43346081753907 0.30655779669891103
m190516_0013.fits 82.74282754 90.21993196 -44.24281201 "15:54:44.84 +25:00:50.18" "15:54:15.17 +25:00:54.06" 403.3584463523012 0.30566609867281613
m190516_0014.fits 82.4542335 135.21997652 2.17782035 "15:54:44.84 +25:00:50.18" "15:54:24.05 +25:05:37.92" 403.21393239378403 0.29127762626498566
m190516_0015.fits 82.21694377 180.22017735 48.64060131 "15:54:44.84 +25:00:50.18" "15:54:45.09 +25:07:32.91" 402.74250270345743 0.2748508546077346
m190516_0016.fits 74.73183059 180.22010043 1.51905838 "16:21:19.81 +35:01:19.21" "16:21:20.16 +35:08:02.37" 403.1812531292192 0.38802847149105446
m190516_0017.fits 74.74100595 135.2198317 -41.46168026 "16:21:19.81 +35:01:19.21" "16:20:56.85 +35:06:07.73" 403.39551025581335 0.4159647871019274
m190516_0018.fits 74.7829042 90.22008868 -84.53063282 "16:21:19.81 +35:01:19.21" "16:20:47.00 +35:01:22.89" 403.0489660764024 0.26459607550378905
m190516_0019.fits 74.83181475 45.21997853 -128.27605709 "16:21:19.81 +35:01:19.21" "16:20:56.42 +34:56:37.09" 402.82970129280073 0.29829618825786497
m190516_0020.fits 74.8360142 0.21996314 -172.18689427 "16:21:19.81 +35:01:19.21" "16:21:19.51 +34:54:36.20" 403.0271618599384 0.3072361787881732
m190516_0021.fits 74.76397997 -44.77989698 -215.94744763 "16:21:19.81 +35:01:19.21" "16:21:42.81 +34:56:31.18" 403.5180307421102 0.3506288434202247
