# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m191019_0054.fits 49.13554012 199.2199964 4.0678722 "23:16:14.54 +59:50:27.59" "23:16:36.22 +59:55:54.18" 365.079836641 7.36555387019
m191019_0055.fits 49.22191699 244.22005459 49.46176639 "23:16:14.54 +59:50:27.59" "23:17:00.48 +59:52:22.48" 364.590545429 7.49489921365
m191019_0056.fits 49.22860426 199.21999968 5.13449875 "23:16:14.54 +59:50:27.59" "23:16:36.17 +59:55:54.15" 364.857614856 7.30832088638
m191019_0057.fits 49.28068862 154.22032823 -39.28078541 "23:16:14.54 +59:50:27.59" "23:15:59.05 +59:56:12.97" 364.521830437 7.10175535096
m191019_0058.fits 49.38113033 109.21996324 -83.73358902 "23:16:14.54 +59:50:27.59" "23:15:31.11 +59:53:10.00" 365.169149195 7.10842819435
m191019_0059.fits 49.49761779 64.22017959 -128.20526966 "23:16:14.54 +59:50:27.59" "23:15:28.65 +59:48:30.89" 365.166578104 7.05901731745
m191019_0060.fits 49.58223761 19.22002718 -172.75899586 "23:16:14.54 +59:50:27.59" "23:15:52.97 +59:45:00.63" 365.254946108 7.21270219769
m191019_0061.fits 49.60619484 -25.7797172 -217.37291226 "23:16:14.54 +59:50:27.59" "23:16:29.87 +59:44:41.11" 365.286361546 7.34211509337
m191019_0062.fits 49.57711399 -70.77996708 -261.96178326 "23:16:14.54 +59:50:27.59" "23:16:57.83 +59:47:43.97" 365.157856545 7.47936997348
m191019_0063.fits 49.53159059 -115.77982659 -306.47095475 "23:16:14.54 +59:50:27.59" "23:17:00.47 +59:52:22.13" 364.447450898 7.54511061836
m191019_0064.fits 49.52040417 -160.77986957 -350.78056988 "23:16:14.54 +59:50:27.59" "23:16:36.24 +59:55:53.95" 364.917423232 7.39485466366
m191019_0065.fits 49.55670956 -205.77999568 -395.15315899 "23:16:14.54 +59:50:27.59" "23:15:59.09 +59:56:13.38" 364.806998188 7.1689187645
m191019_0066.fits 49.58131871 -160.78001301 -349.68232044 "23:16:14.54 +59:50:27.59" "23:16:36.19 +59:55:54.16" 364.960594339 7.3372212368
m191019_0067.fits 49.66471028 -115.77998334 -304.10929188 "23:16:14.54 +59:50:27.59" "23:17:00.47 +59:52:22.11" 364.426067108 7.54820248347
m191019_0068.fits 49.7665175 -70.77990865 -258.60266766 "23:16:14.54 +59:50:27.59" "23:16:57.84 +59:47:44.10" 365.143191749 7.45794510277
m191019_0069.fits 49.84631319 -25.77983647 -213.02169976 "23:16:14.54 +59:50:27.59" "23:16:29.83 +59:44:41.04" 365.267249072 7.38882579792
m191019_0070.fits 49.87169003 19.21999178 -167.35237774 "23:16:14.54 +59:50:27.59" "23:15:52.98 +59:45:00.37" 365.440619523 7.17798851835
m191019_0071.fits 49.83628506 64.22012167 -121.768895 "23:16:14.54 +59:50:27.59" "23:15:28.62 +59:48:30.82" 365.37969751 7.05966321552
m191019_0072.fits 49.77562102 109.22008193 -76.24174294 "23:16:14.54 +59:50:27.59" "23:15:31.12 +59:53:09.70" 364.984587367 7.07100545545
m191019_0073.fits 49.73494628 154.21999418 -30.81664929 "23:16:14.54 +59:50:27.59" "23:15:59.14 +59:56:13.13" 364.45224383 7.21192714964
m191019_0074.fits 49.75127523 199.22012194 14.68062225 "23:16:14.54 +59:50:27.59" "23:16:36.24 +59:55:53.93" 364.915007556 7.40144292786
m191019_0075.fits 49.82080909 244.21985719 60.1945993 "23:16:14.54 +59:50:27.59" "23:17:00.48 +59:52:22.24" 364.514835146 7.53020155593
m191019_0076.fits 33.50251509 283.21993686 45.66706863 "02:31:53.82 +67:28:25.39" "02:32:53.23 +67:26:16.83" 365.053807113 7.51271643666
m191019_0077.fits 33.58662048 238.21994104 1.12209716 "02:31:53.82 +67:28:25.39" "02:32:51.76 +67:30:56.04" 365.190028049 7.5281409406
m191019_0078.fits 33.71470731 193.2202444 -43.45960698 "02:31:53.82 +67:28:25.39" "02:32:16.21 +67:34:07.04" 364.987794695 7.42306155159
m191019_0079.fits 33.8877842 148.22024242 -88.06621918 "02:31:53.82 +67:28:25.39" "02:31:27.42 +67:33:57.23" 364.751982934 7.20484837291
m191019_0080.fits 34.07820962 103.21997125 -132.68933377 "02:31:53.82 +67:28:25.39" "02:30:54.21 +67:30:32.30" 365.038421284 7.01017644404
m191019_0081.fits 34.22572371 58.22008384 -177.37760243 "02:31:53.82 +67:28:25.39" "02:30:56.15 +67:25:53.04" 364.981431424 6.99731225657
m191019_0082.fits 34.31478968 13.22006982 -222.07287487 "02:31:53.82 +67:28:25.39" "02:31:31.67 +67:22:42.45" 365.867376106 7.13152271867
m191019_0083.fits 34.35821434 -31.78003069 -266.72969231 "02:31:53.82 +67:28:25.39" "02:32:20.02 +67:22:52.84" 365.180879853 7.42324349143
m191019_0084.fits 34.39212925 -76.7798974 -311.34316239 "02:31:53.82 +67:28:25.39" "02:32:53.26 +67:26:16.81" 365.255243136 7.50412031202
m191019_0085.fits 34.45204728 -121.77999763 -355.93971524 "02:31:53.82 +67:28:25.39" "02:32:51.75 +67:30:55.83" 365.045097349 7.55350692239
m191019_0086.fits 34.57820467 -166.77994291 -400.49574742 "02:31:53.82 +67:28:25.39" "02:32:16.17 +67:34:06.81" 364.692905714 7.40001091721
m191019_0087.fits 34.74797743 -121.78004842 -354.90011677 "02:31:53.82 +67:28:25.39" "02:32:51.72 +67:30:55.80" 364.875568254 7.54663579544
m191019_0088.fits 34.89882405 -76.77981854 -309.57078442 "02:31:53.82 +67:28:25.39" "02:32:53.25 +67:26:16.91" 365.162797891 7.49364818147
m191019_0089.fits 35.11258328 -31.77990288 -264.08624443 "02:31:53.82 +67:28:25.39" "02:32:20.05 +67:22:53.05" 365.055151443 7.38539522622
m191019_0090.fits 35.28828086 13.22004821 -218.64623913 "02:31:53.82 +67:28:25.39" "02:31:31.69 +67:22:42.41" 365.880163369 7.11877921245
