# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190515_0044.fits 60.24056366 -44.78013707 -219.39314923 "18:50:14.65 +49:33:42.29" "18:50:43.64 +49:28:53.80" 403.5844398407455 0.4550804770886998
m190515_0045.fits 60.14002601 -89.77985164 -263.73362049 "18:50:14.65 +49:33:42.29" "18:50:56.13 +49:33:37.65" 403.5981823005561 0.5036157280119937
m190515_0046.fits 60.02609127 -134.78010423 -307.91903576 "18:50:14.65 +49:33:42.29" "18:50:44.31 +49:38:24.19" 403.22785790860513 0.47083783711667593
m190515_0047.fits 59.94778177 -179.77997313 -352.04960808 "18:50:14.65 +49:33:42.29" "18:50:15.08 +49:40:25.64" 403.3757100084381 0.37497953430846565
m190515_0048.fits 69.79709159 -179.78002669 -357.65545353 "19:05:40.38 +39:52:34.82" "19:05:40.74 +39:59:18.15" 403.35532269385754 0.36357905546219627
m190515_0049.fits 69.81800132 -134.78003691 -311.65268502 "19:05:40.38 +39:52:34.82" "19:06:05.41 +39:57:16.96" 403.17854000055655 0.40288751232708364
m190515_0050.fits 69.81400922 -134.78004779 -311.42529377 "19:05:40.38 +39:52:34.82" "19:06:05.42 +39:57:16.89" 403.1497760583399 0.41259085715932997
m190515_0051.fits 69.80996038 -134.78006192 -311.20361313 "19:05:40.38 +39:52:34.82" "19:06:05.41 +39:57:16.92" 403.09219451412247 0.39880017759304565
m190515_0052.fits 69.86748909 -89.78006402 -265.14448246 "19:05:40.38 +39:52:34.82" "19:06:15.42 +39:52:30.43" 403.43491763501265 0.4495968262740462
m190515_0053.fits 69.86164516 -89.78007533 -264.90562996 "19:05:40.38 +39:52:34.82" "19:06:15.41 +39:52:30.52" 403.21481251486466 0.43767928691028146
m190515_0054.fits 69.85564382 -89.78008404 -264.67195305 "19:05:40.38 +39:52:34.82" "19:06:15.41 +39:52:30.37" 403.3107220937294 0.4582438773010722
m190515_0055.fits 69.89744985 -44.78004649 -218.45839867 "19:05:40.38 +39:52:34.82" "19:06:04.88 +39:47:46.56" 403.41199626814984 0.418077572778941
m190515_0056.fits 69.88980725 -44.78009727 -218.22480473 "19:05:40.38 +39:52:34.82" "19:06:04.88 +39:47:46.54" 403.4063408557808 0.422925649712397
m190515_0057.fits 69.88167286 -44.78013002 -217.99208054 "19:05:40.38 +39:52:34.82" "19:06:04.87 +39:47:46.55" 403.3484059895281 0.4302735833858833
m190515_0058.fits 69.8556628 0.22000217 -171.56173786 "19:05:40.38 +39:52:34.82" "19:05:40.04 +39:45:51.44" 403.39860053803096 0.3305777527675957
m190515_0059.fits 69.84527752 0.21991602 -171.31830201 "19:05:40.38 +39:52:34.82" "19:05:40.05 +39:45:51.46" 403.3793658429673 0.32086437325369843
m190515_0060.fits 69.8353722 0.22002314 -171.09187493 "19:05:40.38 +39:52:34.82" "19:05:40.05 +39:45:51.53" 403.30629191011565 0.3279785741672754
m190515_0061.fits 69.72558274 45.21993332 -124.60747609 "19:05:40.38 +39:52:34.82" "19:05:15.40 +39:47:52.32" 403.2339912535133 0.27340905738137167
m190515_0062.fits 69.71310922 45.21992127 -124.37192807 "19:05:40.38 +39:52:34.82" "19:05:15.39 +39:47:52.25" 403.3507717106326 0.27545908319120826
m190515_0063.fits 69.70066834 45.2198802 -124.14239106 "19:05:40.38 +39:52:34.82" "19:05:15.39 +39:47:52.22" 403.3712647514924 0.2718528338952808
m190515_0064.fits 69.54131431 90.2198309 -77.8223637 "19:05:40.38 +39:52:34.82" "19:05:05.33 +39:52:38.37" 403.5191463642242 0.23735833916740035
m190515_0065.fits 69.52785268 90.21992526 -77.60619339 "19:05:40.38 +39:52:34.82" "19:05:05.32 +39:52:38.43" 403.62814604191334 0.24602209339826686
m190515_0066.fits 69.51342505 90.21991953 -77.37964043 "19:05:40.38 +39:52:34.82" "19:05:05.33 +39:52:38.32" 403.4742688227948 0.2311866829401481
m190515_0067.fits 69.32711447 135.22018939 -30.79907116 "19:05:40.38 +39:52:34.82" "19:05:15.83 +39:57:22.92" 403.46644161708485 0.31418830536674136
m190515_0068.fits 69.31069886 135.22018795 -30.57551655 "19:05:40.38 +39:52:34.82" "19:05:15.83 +39:57:22.49" 403.1862634084717 0.2668120655480948
m190515_0069.fits 69.29444241 135.220112 -30.35792145 "19:05:40.38 +39:52:34.82" "19:05:15.82 +39:57:22.71" 403.3903496721957 0.28343289320787335
m190515_0070.fits 69.20004175 180.2198695 15.51227584 "19:05:40.38 +39:52:34.82" "19:05:40.74 +39:59:17.98" 403.1860629796675 0.3757965365407472
m190515_0071.fits 69.18219617 180.21998923 15.73332992 "19:05:40.38 +39:52:34.82" "19:05:40.73 +39:59:18.18" 403.3820844641689 0.34908473480714974
m190515_0072.fits 69.16454589 180.21985924 15.94315448 "19:05:40.38 +39:52:34.82" "19:05:40.74 +39:59:18.01" 403.20972776896514 0.3659701667322679
m190515_0075.fits 79.77591587 180.21977701 3.32732502 "19:29:38.67 +29:52:28.33" "19:29:38.99 +29:59:11.56" 403.2509868585834 0.37414222810159004
m190515_0076.fits 79.74726497 135.21990094 -37.82003006 "19:29:38.67 +29:52:28.33" "19:29:16.95 +29:57:15.99" 403.1399948357813 0.2824664045186296
m190515_0077.fits 79.7560374 90.21978706 -80.04826817 "19:29:38.67 +29:52:28.33" "19:29:07.66 +29:52:31.99" 403.414848985123 0.2674902446034366
m190515_0078.fits 79.77363533 45.22001734 -123.05895027 "19:29:38.67 +29:52:28.33" "19:29:16.55 +29:47:45.84" 403.33963919008823 0.3002800608593361
m190515_0079.fits 79.73885679 0.22005429 -166.18690285 "19:29:38.67 +29:52:28.33" "19:29:38.38 +29:45:44.87" 403.4764682013059 0.31455722267207875
m190516_0007.fits 84.18535321 -179.78007467 -334.33872589 "15:54:44.84 +25:00:50.18" "15:54:45.12 +25:07:33.36" 403.20159680790584 0.31941841240296753
m190516_0008.fits 84.0171103 -134.77992837 -285.29799446 "15:54:44.84 +25:00:50.18" "15:55:06.05 +25:05:32.47" 403.4009743829634 0.3900403248180737
m190516_0009.fits 83.90855938 -89.77990884 -236.99105248 "15:54:44.84 +25:00:50.18" "15:55:14.53 +25:00:46.24" 403.6874036414551 0.3657849608437118
m190516_0010.fits 83.69556128 -44.77996598 -187.73765263 "15:54:44.84 +25:00:50.18" "15:55:05.63 +24:56:02.40" 403.3700549165282 0.3130346185147914
m190516_0011.fits 83.39520104 0.21996828 -138.88244709 "15:54:44.84 +25:00:50.18" "15:54:44.56 +24:54:06.71" 403.48176160019386 0.3127550896676041
m190516_0012.fits 83.07491195 45.2200122 -91.18597302 "15:54:44.84 +25:00:50.18" "15:54:23.69 +24:56:07.55" 403.2383764743669 0.2617907625056546
m190516_0013.fits 82.74282754 90.21993196 -44.24281201 "15:54:44.84 +25:00:50.18" "15:54:15.18 +25:00:53.82" 403.0981648557706 0.2709916787845259
m190516_0014.fits 82.4542335 135.21997652 2.17782035 "15:54:44.84 +25:00:50.18" "15:54:24.04 +25:05:37.92" 403.27302422194765 0.2830053104436274
m190516_0015.fits 82.21694377 180.22017735 48.64060131 "15:54:44.84 +25:00:50.18" "15:54:45.12 +25:07:33.38" 403.21552828029513 0.3195207997214311
m190516_0016.fits 74.73183059 180.22010043 1.51905838 "16:21:19.81 +35:01:19.21" "16:21:20.18 +35:08:01.83" 402.64345114357656 0.4137148567796203
m190516_0017.fits 74.74100595 135.2198317 -41.46168026 "16:21:19.81 +35:01:19.21" "16:20:56.83 +35:06:07.40" 403.3608409003596 0.35367627499798004
m190516_0018.fits 74.7829042 90.22008868 -84.53063282 "16:21:19.81 +35:01:19.21" "16:20:46.99 +35:01:22.80" 403.21887540169286 0.25126413012250737
m190516_0019.fits 74.83181475 45.21997853 -128.27605709 "16:21:19.81 +35:01:19.21" "16:20:56.42 +34:56:36.99" 402.8511824186373 0.28059982219261315
m190516_0020.fits 74.8360142 0.21996314 -172.18689427 "16:21:19.81 +35:01:19.21" "16:21:19.56 +34:54:35.32" 403.8980807698549 0.22503625062424248
m190516_0021.fits 74.76397997 -44.77989698 -215.94744763 "16:21:19.81 +35:01:19.21" "16:21:42.81 +34:56:30.96" 403.6480981943427 0.3770943117362435
m190516_0022.fits 74.63755799 -89.7800763 -259.71117672 "16:21:19.81 +35:01:19.21" "16:21:52.61 +35:01:14.69" 402.8926532809305 0.4613814101803655
m190516_0023.fits 74.49288493 -134.77995302 -303.30572495 "16:21:19.81 +35:01:19.21" "16:21:43.29 +35:06:01.30" 403.3513489847563 0.43187515548777355
m190516_0024.fits 74.37602709 -179.78013114 -346.77867398 "16:21:19.81 +35:01:19.21" "16:21:20.17 +35:08:01.79" 402.6038879910831 0.4059199664077937
m190516_0027.fits 65.20651824 -179.77982096 -358.83761105 "16:37:38.85 +44:33:04.59" "16:37:39.22 +44:39:48.16" 403.5902020394713 0.33148178025044217
m190516_0028.fits 65.23545475 -134.78001819 -313.14284882 "16:37:38.85 +44:33:04.59" "16:38:05.87 +44:37:46.09" 403.1299066432338 0.5289501723392505
m190516_0029.fits 65.30549669 -89.77998215 -267.34975323 "16:37:38.85 +44:33:04.59" "16:38:16.62 +44:32:59.61" 403.7691543976082 0.5407380716555963
m190516_0030.fits 65.36727793 -44.78016516 -221.43759045 "16:37:38.85 +44:33:04.59" "16:38:05.24 +44:28:16.15" 403.54304286238744 0.44296947702582656
m190516_0031.fits 65.37294408 0.21994057 -175.40914997 "16:37:38.85 +44:33:04.59" "16:37:38.47 +44:26:21.11" 403.4935823144513 0.3610408329135453
m190516_0032.fits 65.30728354 45.22001014 -129.40462765 "16:37:38.85 +44:33:04.59" "16:37:11.98 +44:28:22.15" 402.9419921225176 0.23889629979220217
m190516_0033.fits 65.19634921 90.21988851 -83.53916821 "16:37:38.85 +44:33:04.59" "16:37:01.17 +44:33:08.04" 402.772960447281 0.2160143618730217
m190516_0034.fits 65.09022266 135.21986454 -37.79975399 "16:37:38.85 +44:33:04.59" "16:37:12.38 +44:37:52.53" 403.5413388059078 0.2651903482378657
m190516_0035.fits 65.03408778 180.21997629 7.85647026 "16:37:38.85 +44:33:04.59" "16:37:39.21 +44:39:48.27" 403.70099711526996 0.32666199383015737
m190516_0037.fits 54.95138755 180.22013622 2.07777324 "16:49:39.35 +54:48:07.68" "16:49:39.82 +54:54:50.84" 403.18470475922436 0.35936796340425303
m190516_0038.fits 54.96258362 135.21995242 -41.87391934 "16:49:39.35 +54:48:07.68" "16:49:06.66 +54:52:55.25" 403.0157292171399 0.2484800335843147
m190516_0039.fits 55.02486461 90.21994696 -86.2158812 "16:49:39.35 +54:48:07.68" "16:48:52.70 +54:48:10.70" 403.34113504697217 0.13044453491897912
m190516_0040.fits 55.0904152 45.21991909 -130.65279183 "16:49:39.35 +54:48:07.68" "16:49:06.06 +54:43:24.84" 403.70704627688997 0.24878756550640446
m190516_0041.fits 55.11295626 0.21994515 -175.1464766 "16:49:39.35 +54:48:07.68" "16:49:38.88 +54:41:23.71" 403.98906557310266 0.3592061913407463
m190516_0042.fits 55.06962053 -44.78005219 -219.65779957 "16:49:39.35 +54:48:07.68" "16:50:11.94 +54:43:18.78" 403.7788319535411 0.5179282231006823
m190516_0043.fits 54.97386948 -89.78008634 -264.10197148 "16:49:39.35 +54:48:07.68" "16:50:26.01 +54:48:02.06" 403.4564607004027 0.6569828494544936
m190516_0044.fits 54.86773504 -134.78008692 -308.45692238 "16:49:39.35 +54:48:07.68" "16:50:12.73 +54:52:49.45" 403.1378684678864 0.4942138033600827
m190516_0045.fits 54.79753131 -179.78008377 -352.73041424 "16:49:39.35 +54:48:07.68" "16:49:39.83 +54:54:50.76" 403.10120004211285 0.3655249157823164
m190516_0047.fits 45.18339218 -179.77981595 -358.00669274 "17:04:43.95 +64:34:37.47" "17:04:44.62 +64:41:20.24" 402.7862369633363 0.39160750460234794
m190516_0048.fits 45.21424563 -134.78002935 -312.58266053 "17:04:43.95 +64:34:37.47" "17:05:28.80 +64:39:19.36" 403.2712182353876 0.5183729601341156
m190516_0049.fits 45.28765837 -89.78000231 -267.10607418 "17:04:43.95 +64:34:37.47" "17:05:46.62 +64:34:32.49" 403.5772349951 0.606160688407499
m190516_0050.fits 45.35439106 -44.78001806 -221.53955159 "17:04:43.95 +64:34:37.47" "17:05:27.62 +64:29:48.50" 403.48925842786724 0.602291346048105
m190516_0051.fits 45.36788722 0.21994319 -175.89849076 "17:04:43.95 +64:34:37.47" "17:04:43.30 +64:27:53.83" 403.6623815782368 0.37493065870535247
m190516_0052.fits 45.31365272 45.2199904 -130.29514965 "17:04:43.95 +64:34:37.47" "17:03:59.33 +64:29:54.65" 403.4681318803141 0.19097886327574543
m190516_0053.fits 45.21559668 90.21985647 -84.74730954 "17:04:43.95 +64:34:37.47" "17:03:41.34 +64:34:40.54" 403.209864623559 0.0985801477404209
m190516_0054.fits 45.12219283 135.21997845 -39.21853814 "17:04:43.95 +64:34:37.47" "17:04:00.03 +64:39:24.52" 402.67802258525455 0.16369766944848152
m190516_0055.fits 45.08137265 180.21991697 6.22134414 "17:04:43.95 +64:34:37.47" "17:04:44.62 +64:41:20.20" 402.753086781496 0.3933635358583558
m190516_0057.fits 34.81530566 180.22000724 2.94886604 "17:16:23.02 +74:56:48.53" "17:16:24.09 +75:03:31.31" 402.8034334988387 0.3763499687711942
m190516_0058.fits 34.80925351 180.22001282 3.3845512 "17:16:23.02 +74:56:48.53" "17:16:24.07 +75:03:31.33" 402.82585727236597 0.36345820340011414
m190516_0059.fits 34.80816355 180.22004526 3.46104351 "17:16:23.02 +74:56:48.53" "17:16:24.12 +75:03:31.52" 403.0159870360622 0.3892217749708209
m190516_0060.fits 34.80455927 160.2199591 -16.08174023 "17:16:23.02 +74:56:48.53" "17:15:48.46 +75:03:08.25" 402.72684334375066 0.25328524733785684
m190516_0061.fits 34.81470406 140.22001462 -35.73198971 "17:16:23.02 +74:56:48.53" "17:15:17.03 +75:01:59.36" 402.90811226528234 0.13270500404968288
m190516_0062.fits 34.83380819 120.21986733 -55.31604943 "17:16:23.02 +74:56:48.53" "17:14:53.66 +75:00:12.48" 402.912945851175 0.011707618911600548
m190516_0063.fits 34.86054396 100.2199055 -74.94012341 "17:16:23.02 +74:56:48.53" "17:14:41.21 +74:58:00.92" 402.9102236365957 -0.07433294745396779
m190516_0064.fits 34.89098791 80.2200354 -94.59503922 "17:16:23.02 +74:56:48.53" "17:14:41.10 +74:55:40.93" 403.00965189668136 -0.08069471982463483
m190516_0065.fits 34.9203919 60.2199243 -114.26918682 "17:16:23.02 +74:56:48.53" "17:14:53.20 +74:53:28.93" 403.38951959111137 -0.057367725888155974
m190516_0066.fits 34.94437812 40.22007689 -133.95303044 "17:16:23.02 +74:56:48.53" "17:15:16.04 +74:51:41.02" 403.76268590204563 0.040270986388463825
m190516_0067.fits 34.9587323 20.22006095 -153.63182148 "17:16:23.02 +74:56:48.53" "17:15:46.86 +74:50:30.36" 403.7166301392319 0.19983454722316196
m190516_0068.fits 34.96115031 0.21997983 -173.31777939 "17:16:23.02 +74:56:48.53" "17:16:22.02 +74:50:04.44" 404.10897574861167 0.3311454961385607
m190516_0069.fits 34.94943113 -19.77994498 -192.97826275 "17:16:23.02 +74:56:48.53" "17:16:57.15 +74:50:27.35" 403.85490755841744 0.55432869588725
m190516_0070.fits 34.9253592 -39.7800957 -212.66367707 "17:16:23.02 +74:56:48.53" "17:17:28.38 +74:51:35.74" 403.7828163300959 0.6845237661062811
m190516_0071.fits 34.88972199 -59.77987937 -232.34877667 "17:16:23.02 +74:56:48.53" "17:17:51.85 +74:53:21.63" 403.73489597967324 0.7859146747154568
m190516_0072.fits 34.84476062 -79.78010997 -252.00330624 "17:16:23.02 +74:56:48.53" "17:18:04.83 +74:55:32.70" 404.07541772738796 0.8001280217739009
