# %ECSV 0.9
# ---
# datatype:
# - name: Filename
#   datatype: string
# - name: EL
#   datatype: float64
# - name: PA
#   datatype: float64
# - name: RotAng
#   datatype: float64
# - name: GuiderCoord
#   datatype: string
# - name: ImageCoord
#   datatype: string
# - name: OffsetDistance
#   datatype: float64
# - name: OffsetAngle
#   datatype: float64
# schema: astropy-2.0
Filename EL PA RotAng GuiderCoord ImageCoord OffsetDistance OffsetAngle
m190515_0044.fits 60.24056366 -44.78013707 -219.39314923 "18:50:14.65 +49:33:42.29" "18:50:43.63 +49:28:53.93" 403.44851786004574 0.44828459377237095
m190515_0045.fits 60.14002601 -89.77985164 -263.73362049 "18:50:14.65 +49:33:42.29" "18:50:56.17 +49:33:37.37" 403.9592998122118 0.54358281580636
m190515_0046.fits 60.02609127 -134.78010423 -307.91903576 "18:50:14.65 +49:33:42.29" "18:50:44.31 +49:38:24.20" 403.24761995507856 0.4716082510427668
m190515_0047.fits 59.94778177 -179.77997313 -352.04960808 "18:50:14.65 +49:33:42.29" "18:50:15.09 +49:40:25.52" 403.2515172937293 0.3790276809623947
m190515_0048.fits 69.79709159 -179.78002669 -357.65545353 "19:05:40.38 +39:52:34.82" "19:05:40.74 +39:59:18.09" 403.2945920613292 0.3641299312791375
m190515_0049.fits 69.81800132 -134.78003691 -311.65268502 "19:05:40.38 +39:52:34.82" "19:06:05.41 +39:57:16.70" 402.99217100135525 0.42843002015007414
m190515_0050.fits 69.81400922 -134.78004779 -311.42529377 "19:05:40.38 +39:52:34.82" "19:06:05.42 +39:57:16.66" 402.9803733699312 0.4356004497677759
m190515_0051.fits 69.80996038 -134.78006192 -311.20361313 "19:05:40.38 +39:52:34.82" "19:06:05.44 +39:57:17.20" 403.5692609602635 0.4093266492016596
m190515_0052.fits 69.86748909 -89.78006402 -265.14448246 "19:05:40.38 +39:52:34.82" "19:06:15.43 +39:52:30.73" 403.4997867200306 0.4072621362936957
m190515_0053.fits 69.86164516 -89.78007533 -264.90562996 "19:05:40.38 +39:52:34.82" "19:06:15.42 +39:52:30.42" 403.33220740446706 0.4511991629664749
m190515_0054.fits 69.85564382 -89.78008404 -264.67195305 "19:05:40.38 +39:52:34.82" "19:06:15.41 +39:52:30.55" 403.20958340211644 0.4332726380359304
m190515_0055.fits 69.89744985 -44.78004649 -218.45839867 "19:05:40.38 +39:52:34.82" "19:06:04.87 +39:47:46.59" 403.2890193000027 0.42963590303259025
m190515_0056.fits 69.88980725 -44.78009727 -218.22480473 "19:05:40.38 +39:52:34.82" "19:06:04.86 +39:47:46.53" 403.2868624590627 0.4431807646486732
m190515_0057.fits 69.88167286 -44.78013002 -217.99208054 "19:05:40.38 +39:52:34.82" "19:06:04.89 +39:47:46.38" 403.57719762316833 0.4313880783813602
m190515_0058.fits 69.8556628 0.22000217 -171.56173786 "19:05:40.38 +39:52:34.82" "19:05:40.06 +39:45:51.67" 403.1661361387656 0.31139796675708453
m190515_0059.fits 69.84527752 0.21991602 -171.31830201 "19:05:40.38 +39:52:34.82" "19:05:40.07 +39:45:51.10" 403.7306274109122 0.2914052161755478
m190515_0060.fits 69.8353722 0.22002314 -171.09187493 "19:05:40.38 +39:52:34.82" "19:05:40.06 +39:45:51.24" 403.5911368937867 0.2965877974681348
m190515_0061.fits 69.72558274 45.21993332 -124.60747609 "19:05:40.38 +39:52:34.82" "19:05:15.45 +39:47:52.22" 402.85972664352846 0.20074170388812718
m190515_0062.fits 69.71310922 45.21992127 -124.37192807 "19:05:40.38 +39:52:34.82" "19:05:15.44 +39:47:52.23" 402.98576329733066 0.22146087019700644
m190515_0063.fits 69.70066834 45.2198802 -124.14239106 "19:05:40.38 +39:52:34.82" "19:05:15.44 +39:47:52.13" 403.028046658234 0.20735460553035523
